DEPMD__m,WOB_AVG__tf,DEPTVD__m,ROPA_AVG__m/h,TORQ_AVG__kLbf.ft,SURFRPM_AVG__rpm,MOTORRPM_AVG__rpm,BITRPM_AVG__rpm,SPP_AVG__Psi,CHKP_AVG__Psi,CEMENTP_AVG__Psi,SPM01_AVG__Stk/min,SPM02_AVG__Stk/min,SPM03_AVG__Stk/min,PITACTIVE_AVG__bbl,FLOWIN_AVG__gal/min,FLOWOUTP_AVG__%,DIN_AVG__ppg,TIN_AVG__C,DOUT_AVG__ppg,TOUT_AVG__C,HP__hp,DOC__in/rev,MSE__ksi,Comments__TOC/TOP,well,cluster
2760,0.95,2612.85,72.94,4.88,76,0,76.0,1176,0,0,80,87,0,231.489,713,25.62,11.69,40.606,11.69,38.2,70.61690784,0.629748584,10.33393429,TOC,,3
2761,0.95,2613.72,71.34,4.89,76,0,76.0,1176,0,0,80,87,0,231.548,715,25.84,11.69,40.604,11.69,38.3,70.76161462,0.615934521,10.58643273,TOC,,3
2762,0.94,2614.58,72.66,4.88,76,0,76.0,1177,0,0,80,87,0,231.32,716,27.36,11.69,40.602,11.69,38.3,70.61690784,0.627331123,10.37321724,TOC,,3
2763,0.93,2615.45,74.84,4.91,76,0,76.0,1177,0,0,80,87,0,231.396,713,26.78,11.69,40.618,11.69,38.2,71.05102818,0.646152784,10.13343491,TOC,,3
2764,0.93,2616.33,71.14,4.91,76,0,76.0,1176,0,0,80,87,0,231.572,714,26.95,11.69,40.632,11.69,38.1,71.05102818,0.614207764,10.65856574,TOC,,3
2765,0.93,2617.17,69.96,4.93,76,0,76.0,1177,0,0,80,87,0,231.392,715,25.8,11.69,40.651,11.69,38.1,71.34044174,0.604019892,10.8817178,TOC,,3
2766,0.94,2618.04,71.93,4.94,76,0,76.0,1177,0,0,80,87,0,231.389,715,25.61,11.69,40.656,11.69,38.2,71.48514851,0.621028457,10.60648854,TOC,,3
2767,0.94,2618.91,73.31,4.92,76,0,76.0,1177,0,0,80,87,0,231.26,715,26.26,11.69,40.667,11.69,38.3,71.19573496,0.632943086,10.3655436,TOC,,3
2768,0.93,2619.77,68.55,4.9,76,0,76.0,1178,0,0,80,87,0,231.276,713,27.02,11.69,40.667,11.69,38.4,70.9063214,0.591846249,11.03743631,TOC,,3
2769,0.92,2620.63,71.27,4.91,76,0,76.0,1178,0,0,80,87,0,231.336,713,27.16,11.69,40.677,11.69,38.4,71.05102818,0.615330156,10.63879604,TOC,,3
2770,0.92,2621.5,71.36,4.92,76,0,76.0,1178,0,0,80,87,0,231.055,714,26.58,11.69,40.689,11.69,38.5,71.19573496,0.616107197,10.64699047,TOC,,3
2771,0.91,2622.38,73.36,4.91,76,0,76.0,1178,0,0,80,87,0,231.079,716,26.4,11.69,40.705,11.69,38.6,71.05102818,0.633374776,10.3363408,TOC,,3
2772,0.92,2623.24,75.27,4.92,76,0,76.0,1178,0,0,80,87,0,230.95,712,26.42,11.69,40.71,11.69,38.6,71.19573496,0.649865313,10.09580591,TOC,,3
2773,0.92,2624.1,79.76,4.96,76,0,76.0,1177,0,0,79,87,0,231.064,710,26.37,11.69,40.705,11.69,38.6,71.77456207,0.688631026,9.606699618,TOC,,3
2774,0.91,2624.98,91.25,4.95,76,0,76.0,1179,0,0,80,87,0,231.012,713,27.05,11.69,40.714,11.69,38.7,71.62985529,0.787833264,8.384359872,TOC,,3
