     Depth,      ROP5,      STOR,      SWOB,       RPM,      CRPM,     STICK,      SPPA,      TFLO,      DHAP,     VIB_X,   VIB_LAT,    SHKRSK,      SHKL,    P40H#1,      GR#1,       MSE,       DOC
         m,       m/h,      kN.m,      1000,     c/min,     c/min,     c/min,       psi,   gal/min,       psi,        gn,        gn,          ,          ,     ohm.m,      gAPI,       ksi,    in/rev
    1040.4,   74.4151,   2.34604,  0.108045,        57,   -999.25,   -999.25,   1884.49,    904.71,    1635.5,   -999.25,   -999.25,   -999.25,   -999.25,    0.4386,   22.9508,   2.53395,  0.856646
    1040.6,   74.2991,   2.22354,   1.01731,        57,   -999.25,   -999.25,    1890.5,   904.705,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,    0.4386,   23.6907,   2.40919,  0.855311
    1040.7,   74.7525,   1.88486,  -0.11865,        57,   -999.25,   -999.25,   1880.54,   904.705,      1636,   -999.25,   -999.25,   -999.25,         0,    0.4386,     24.43,   2.02579,  0.860529
    1040.9,   74.6227,   2.83366,   0.93255,        57,        57,   -999.25,    1870.8,   904.705,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,  0.429061,   25.1699,   3.05545,  0.859035
    1041.0,   74.3468,   3.49748,   4.44181,        57,   -999.25,        36,   1874.56,   904.705,      1636,   -999.25,   -999.25,         0,   -999.25,   0.41953,   15.6319,   3.79889,  0.855859
    1041.2,   74.2823,   2.77943,   4.85756,        57,   -999.25,   -999.25,   1872.44,   904.705,      1637,   -999.25,   -999.25,   -999.25,   -999.25,    0.4386,   14.4455,    3.0271,  0.855116
    1041.3,   74.4042,   2.84717,   4.87021,        57,   -999.25,   -999.25,   1874.64,   904.705,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,  0.419545,    16.283,   3.09538,   0.85652
    1041.5,   73.7549,   1.51958,   4.92174,        57,   -999.25,   -999.25,   1870.27,   904.705,   -999.25,   -999.25,   -999.25,   -999.25,         0,  0.419538,   18.1205,   1.67617,  0.849045
    1041.7,   72.8461,   2.25007,   5.11179,        57,   -999.25,   -999.25,   1872.11,   904.705,      1637,   0.12492,   0.49966,   -999.25,   -999.25,   0.41953,    15.176,   2.50347,  0.838584
    1041.8,   73.4078,   2.35903,    4.5803,        57,   -999.25,   -999.25,   1877.89,   904.705,    1635.5,   -999.25,   -999.25,   -999.25,         0,   0.41953,   18.1181,   2.60154,   0.84505
    1042.0,   74.1151,   2.10152,   5.31623,        57,   -999.25,   -999.25,   1881.96,   904.705,      1636,   -999.25,   -999.25,   -999.25,   -999.25,   0.41953,   16.2811,   2.30075,  0.853192
    1042.1,   74.6825,   2.00669,   4.64808,        57,   -999.25,   -999.25,   1879.42,   904.705,    1636.5,   -999.25,   -999.25,   -999.25,   -999.25,   0.41953,   14.4455,   2.17861,  0.859724
    1042.3,   76.0616,   2.46759,   5.05853,        57,   -999.25,   -999.25,   1882.34,   904.705,      1635,   -999.25,   -999.25,   -999.25,         0,  0.407627,   17.6248,   2.62812,    0.8756
    1042.4,   78.4108,   2.60306,   4.77415,        57,   -999.25,   -999.25,   1883.85,   904.705,   1635.33,   -999.25,   -999.25,   -999.25,         0,  0.395733,   20.8016,   2.68767,  0.902643
    1042.6,    80.899,   6.53504,   6.08945,        57,   -999.25,   -999.25,   1895.43,   904.705,      1635,   -999.25,   -999.25,   -999.25,   -999.25,   0.38383,   15.6243,   6.51693,  0.931287
    1042.7,   83.1731,   5.26159,   4.83452,        57,   -999.25,   -999.25,   1883.29,   904.705,      1634,   -999.25,   -999.25,   -999.25,         0,   0.38383,   19.4349,   5.10382,  0.957465
    1042.9,   85.9916,   4.39285,   4.40874,        57,   -999.25,   -999.25,   1894.98,   904.705,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   0.39256,   18.1205,   4.12357,  0.989911
    1043.0,   88.7105,   4.70444,   5.04639,        57,   -999.25,   -999.25,   1887.33,   904.705,      1634,   -999.25,   -999.25,   -999.25,   -999.25,  0.395469,   15.6263,   4.28266,   1.02121
    1043.2,   92.6763,   3.07771,   4.79404,        56,        60,   -999.25,   1896.76,   904.705,      1634,   -999.25,   -999.25,         0,         0,  0.398381,   16.2843,   2.64186,   1.08591
    1043.3,   96.8532,   6.09876,   4.40309,   56.9992,   -999.25,        21,      1912,   904.705,      1634,   -999.25,   -999.25,   -999.25,   -999.25,   0.40129,   16.9417,   5.07853,   1.11496
    1043.5,   101.362,   6.83273,   5.55768,        57,   -999.25,   -999.25,   1906.99,   904.705,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   0.40129,   18.4121,   5.44021,   1.16685
    1043.6,    106.24,   7.51069,   4.96876,        57,   -999.25,   -999.25,   1927.64,   904.705,   1633.67,   -999.25,   -999.25,   -999.25,         0,   0.40129,   16.2385,   5.70182,   1.22301
    1043.8,   110.475,   5.08626,   5.05556,        57,   -999.25,   -999.25,    1932.1,   904.705,      1634,   -999.25,   -999.25,   -999.25,   -999.25,  0.375511,   15.6248,   3.72088,   1.27175
    1043.9,   112.594,   9.07042,   5.54304,        57,   -999.25,   -999.25,   1932.64,   904.705,      1633,   -999.25,   -999.25,   -999.25,   -999.25,    0.3755,   16.8493,   6.49686,   1.29615
    1044.1,   115.053,   7.98664,    4.8962,        57,   -999.25,   -999.25,   1938.83,   910.575,    1632.2,   -999.25,   -999.25,   -999.25,         0,   0.37549,   16.0811,   5.59879,   1.32446
    1044.2,   118.226,   8.74503,   4.39735,        57,   -999.25,   -999.25,   1956.13,    910.58,   1630.67,   0.24983,   1.49898,   -999.25,   -999.25,   0.36714,   15.3123,   5.96253,   1.36098
    1044.4,   119.872,   7.41738,   5.04794,        57,   -999.25,   -999.25,   1930.03,    904.71,   1627.84,   -999.25,   -999.25,   -999.25,         0,   0.36714,   16.0805,   4.99356,   1.37993
    1044.5,   121.762,   6.18253,    4.2979,        57,   -999.25,   -999.25,   1936.88,    910.58,    1625.5,   -999.25,   -999.25,   -999.25,   -999.25,   0.36714,   16.8493,   4.09828,   1.40169
    1044.7,   121.699,   7.11729,   4.69803,        57,   -999.25,   -999.25,   1948.25,    910.58,   -999.25,   -999.25,   -999.25,   -999.25,         0,  0.351193,   16.8608,   4.71931,   1.40096
    1044.9,   121.657,   4.18948,    4.0234,        57,   -999.25,   -999.25,   1924.89,    910.58,      1625,   -999.25,   -999.25,   -999.25,   -999.25,  0.351186,   16.8724,   2.78413,   1.40048
    1045.0,   121.533,   4.98877,   4.77665,        57,   -999.25,   -999.25,    1923.7,    910.58,      1624,   -999.25,   -999.25,   -999.25,   -999.25,   0.35118,   19.4359,   3.31859,   1.39906
    1045.2,   121.416,   7.05025,   5.52167,        57,   -999.25,   -999.25,    1928.4,    910.58,      1623,   -999.25,   -999.25,   -999.25,   -999.25,    0.3359,   19.1305,   4.68931,    1.3977
    1045.3,   121.005,   2.93187,   4.19764,        57,   -999.25,   -999.25,   1920.57,    910.58,      1625,   -999.25,   -999.25,   -999.25,   -999.25,    0.3359,   18.8254,   1.96456,   1.39297
    1045.5,   121.001,   6.11219,   4.62419,        57,   -999.25,   -999.25,    1914.6,    910.58,      1624,   -999.25,   -999.25,   -999.25,         0,  0.351168,   22.2088,   4.07858,   1.39293
    1045.6,   120.934,   5.45092,    5.2667,        57,   -999.25,   -999.25,   1914.79,    910.58,      1624,   -999.25,   -999.25,   -999.25,   -999.25,  0.356496,   19.0168,   3.64408,   1.39216
    1045.8,   120.885,   4.61045,    4.4287,        57,   -999.25,   -999.25,   1923.65,    910.58,      1625,   -999.25,   -999.25,   -999.25,   -999.25,  0.359158,   22.2089,   3.08333,    1.3916
    1045.9,   120.689,   4.60978,   6.09715,        57,   -999.25,   -999.25,    1930.5,   904.705,    1623.5,   -999.25,   -999.25,   -999.25,   -999.25,  0.406518,   31.6415,    3.0948,   1.38934
    1046.1,   116.734,   5.19231,   6.52176,        57,   -999.25,   -999.25,   1965.83,   898.835,      1623,   -999.25,   -999.25,   -999.25,   -999.25,   0.45384,   38.1914,    3.6016,   1.34381
    1046.2,   116.363,   2.34557,   5.46058,        57,        61,   -999.25,   1956.65,   904.705,      1622,   -999.25,   -999.25,         0,   -999.25,    0.5012,   44.7465,   1.64259,   1.33953
