     Depth,      DCAV,    UCS-CA,    UCS-BD,        GR,      P40H,      WOBA,      RPMS,       TQA,      ROPA,       DOC,       MSE
         m,        in,       psi,       psi,      gapi,     ohm.m,      klbm,     1/min,   klbf.ft,       m/h,    in/rev,       ksi
    5275.0,   8.64696,   4933.84,   15236.4,   38.5221,   214.764,     25.61,        91,     15.78,       3.8, 0.0277778,   756.805
    5276.0,   8.70274,   -999.25,   22217.7,   66.1063,   403.338,     33.07,        91,      16.3,      4.68, 0.0334668,   648.855
    5277.0,   8.46645,   -999.25,   8693.83,   104.449,   61.3183,     23.25,        91,     15.67,      5.63, 0.0407027,   512.885
    5278.0,   8.63691,   -999.25,   12825.7,   88.3351,   150.548,     13.83,        91,     15.54,      5.09, 0.0367987,   562.591
    5279.0,   8.71355,   6148.75,   20646.8,   54.6142,   656.965,     23.21,        91,     15.15,      4.54, 0.0331871,    608.16
    5280.0,   8.47012,   6028.67,     16305,   41.7315,   622.138,     32.98,        91,     16.13,      3.67, 0.0268275,   800.994
    5281.0,   8.46398,   4479.29,   15948.9,   26.6719,   239.313,     27.38,        90,     15.89,      2.99, 0.0216165,   979.293
    5282.0,   8.56777,   6370.74,   17925.9,   20.7068,   162.456,     37.03,        84,     17.91,     11.16, 0.0884591,   269.729
    5283.0,    8.5525,   6008.52,   16912.8,   23.5117,   165.373,     27.41,        85,        18,       7.7, 0.0595975,   402.364
    5284.0,   8.62995,   5920.97,   21767.6,   60.7585,   157.346,     32.82,        90,     20.78,     12.45, 0.0910088,   304.184
    5285.0,   8.50461,   -999.25,   16613.2,   49.0401,   121.451,     32.77,        90,     21.38,     10.56, 0.0780603,   364.882
    5286.0,   8.49374,   4560.71,   14554.3,   39.9785,   125.668,     34.52,        90,     18.05,      9.63, 0.0703947,   341.595
    5287.0,   8.50109,   4295.86,   12658.4,   23.6227,   125.659,      31.8,        90,     18.61,     16.99,  0.122831,   201.843
    5288.0,    8.5415,   -999.25,   12454.1,   26.5152,    122.65,     15.97,        90,     17.93,     10.87, 0.0794591,   300.616
    5289.0,    8.5297,    4123.8,   12499.7,   45.3138,   110.321,     25.84,        90,     19.24,     20.66,  0.151023,   169.721
    5290.0,   8.57603,   -999.25,   15287.5,   45.6944,   141.193,     21.06,        90,     18.91,     13.29, 0.0982407,   256.434
    5291.0,   8.51587,   5038.99,   14308.8,   36.1691,   137.002,     23.36,        90,     19.64,     17.03,   0.12312,   212.514
    5292.0,   8.50586,   4556.23,   14757.2,     26.83,   132.741,     22.77,        90,     18.89,      13.7, 0.0990457,    254.08
    5293.0,   8.54061,    6222.2,   14285.2,   24.5162,   120.469,     25.85,        90,     19.33,     13.97,   0.10212,   252.172
    5294.0,   8.57294,   5188.23,   15566.7,   22.7628,   112.451,     24.95,        90,      19.4,      7.24, 0.0517735,   499.194
    5295.0,   8.54652,   5804.98,   14606.8,   28.3143,   116.521,     21.62,        90,     19.57,      9.28, 0.0670908,     388.6
    5296.0,   8.56878,   4180.91,   16570.9,   27.3876,   133.318,     22.98,        90,     19.89,      7.62, 0.0557018,   475.708
    5297.0,   8.58298,   -999.25,   16184.3,   31.8958,   209.871,     27.92,        90,     20.27,      9.03, 0.0652834,   413.643
    5298.0,   8.69955,    2779.8,     20082,   78.9894,   88.8196,     21.97,        90,     17.07,      8.43, 0.0616228,   369.034
    5299.0,   8.49221,   3135.79,   11552.1,    98.918,   63.7869,        22,        90,     16.34,      8.05,  0.058845,   369.928
    5300.0,   8.50888,   4518.42,   15846.9,   39.1585,   147.128,     21.06,        90,     17.71,     10.29, 0.0752193,   313.664
    5301.0,   8.50559,   3538.27,   13114.2,   26.9255,   127.947,     27.24,        90,     17.39,      24.1,   0.17617,   131.505
    5302.0,   8.53018,   3932.86,   19045.8,   24.2881,   127.473,     28.07,        90,     19.69,      7.69, 0.0562134,   466.638
    5303.0,   8.50469,   3864.07,   12544.4,   24.0368,   143.197,     26.18,        90,     17.78,      7.94, 0.0586931,   403.571
    5304.0,   8.57559,   3765.19,   14566.9,   27.3577,    146.95,     20.24,        90,     17.05,       4.7, 0.0343567,   661.131
    5305.0,   8.55964,   3585.83,   12225.2,   30.5369,   148.664,     27.33,        90,     16.21,      3.67, 0.0268275,   804.966
    5306.0,   8.56285,   3697.55,   12097.4,   31.5409,   142.471,     31.88,        90,      17.4,      6.18, 0.0451754,   513.123
    5307.0,   8.58555,   3556.03,   15305.1,   24.0815,   136.816,     21.52,        90,     16.09,      3.82,  0.027924,   767.633
    5308.0,   8.55763,   4301.79,     13004,   24.8846,   127.054,      32.4,        90,     16.01,      4.22,  0.030848,   691.417
    5309.0,   8.58266,    4138.1,   12363.3,   21.6618,   126.154,     29.69,        92,     17.92,       4.7, 0.0336098,   710.307
    5310.0,   8.68462,   -999.25,   13975.9,   24.1433,   157.292,     28.63,        91,     17.48,      4.18, 0.0298913,   779.061
    5311.0,   8.75824,   4171.38,   22381.1,   61.9764,   87.2545,     30.13,        89,     17.01,      5.09, 0.0372076,   609.042
    5312.0,   8.56944,   3930.42,   23660.5,   55.8934,   114.373,     28.75,        89,     17.12,      4.23, 0.0309211,   737.606
    5313.0,   8.72763,   3210.57,   20077.6,   60.0954,   73.3794,     16.02,        89,      15.1,      2.27, 0.0165936,   1212.31
    5314.0,   8.49656,   3041.81,   17272.5,   53.3187,   58.5307,     19.24,        89,     15.46,      4.01, 0.0296422,   694.822
    5315.0,   8.65215,   2920.93,   13673.2,   83.3649,   48.8581,      17.9,        89,     17.44,       4.8, 0.0350877,   662.165
    5316.0,   8.51556,    2700.7,   16626.5,   105.996,   68.6313,     25.71,        89,     15.77,      4.12, 0.0304554,   689.831
    5317.0,   8.57564,   -999.25,   19003.3,   104.544,   109.728,     23.44,        89,      16.6,      5.64, 0.0412281,   536.401
    5318.0,   8.48261,   4105.78,   17301.6,   52.6534,   151.665,     23.71,        89,     17.05,      3.17, 0.0234329,   969.334
    5319.0,   8.53576,   4434.54,   13862.5,   23.5944,   123.578,     22.67,        89,     16.27,      3.72,  0.027193,   797.087
    5320.0,   8.58308,   4306.59,   15530.6,   22.3251,   99.4431,     20.35,        89,     16.33,       3.8, 0.0277778,   783.183
    5321.0,   8.58552,   4392.56,   13618.8,   21.0128,   92.3432,     29.01,        89,     15.86,      4.35, 0.0317982,   664.469
    5322.0,   8.53328,    4669.9,   13150.6,   22.2378,   88.7669,     25.91,       100,     16.87,      3.52, 0.0231579,   970.489
    5323.0,   8.54699,   4396.21,   14022.1,   23.5327,   90.6823,     26.74,       100,     16.93,      4.79, 0.0318315,   708.557
    5324.0,   8.52485,    4117.5,   13327.3,   23.4668,   121.766,     29.61,       100,     17.09,      4.65, 0.0305921,    744.23
    5325.0,   8.53052,   4931.28,   13324.5,   43.1503,   1707.69,     28.31,        99,     16.16,      3.61, 0.0239899,   897.403
    5326.0,   8.63635,   2911.43,   13856.2,   107.904,   111.837,     28.93,       100,     17.13,      6.57, 0.0432237,   527.971
    5327.0,   8.62585,   2215.27,   13856.2,    140.76,   44.3928,      33.3,       100,     18.28,      6.32, 0.0415789,   585.703
    5328.0,   8.55739,   4326.22,   17531.7,   41.6434,   77.5345,     29.97,       100,     17.89,     10.58, 0.0696053,   342.407
    5329.0,   8.54528,   4454.96,   17312.2,   26.4653,   62.2946,     26.15,        90,     16.62,      7.66, 0.0553788,   399.818
    5330.0,   8.54613,   3542.63,   17413.2,   43.1465,   50.5464,     29.89,        90,     17.93,      6.47, 0.0472953,   505.053
    5331.0,   8.57836,   4109.99,   17984.2,   35.2313,   52.9693,     33.55,        90,     17.32,      4.72, 0.0341238,   676.185
    5332.0,    8.5116,   3838.01,   15051.7,   60.9714,   46.2994,     32.67,        90,     16.72,      4.45, 0.0325292,   684.758
    5333.0,   8.59137,   -999.25,   20434.4,   63.0776,   44.4641,     28.06,        90,     18.04,         6, 0.0433777,   554.045
    5334.0,   8.59127,   4932.27,   17558.4,   41.0933,   56.5828,     26.33,        90,     17.38,      5.35, 0.0395476,    585.47
    5335.0,   8.88128,   14649.3,   23774.1,   71.7466,   67.8258,     28.33,        90,     17.47,      4.64, 0.0339181,   686.176
