MD (m),Interval__unidentified (m),Drilling_hour__unidentified (h),Drilling_time__unidentified (min),ROP (m/h),WOB (klbs),BIT_RPM (rpm),TORQUE (kLbf.ft),Si (%),Shale (%),Dolomite (%),Limestone (%),BIT_DIAMETER (in),DOC (in/rev),Mu,MSE (ksi),cluster,MSE_min (ksi)
5426.8,115.8,49.6,4.5,2.33,0.0125685,281.216,6.615931140000001,62.17394164,34.65322498,0.111120942,3.061712431,8.5,0.005436647333959187,2229.415939849624,5304.987728650883,1,1129.4354949731883
5427.0,116.0,49.7,5.3,2.33,0.012519,281.359,6.549550560000001,66.28846862,30.74329458,0.148314718,2.819922082,8.5,0.0054338841717047155,2215.7738605319914,5254.431382341525,1,1129.4354949731883
5427.2,116.2,49.8,4.3,2.33,0.01275525,281.073,6.6306823800000005,66.28846862,30.74329458,0.148314718,2.819922082,8.5,0.005439413307812088,2201.6730428647033,5314.113334917223,1,1129.4354949731883
5427.4,116.4,49.8,4.4,2.34,0.013059,281.502,6.66018486,66.28846862,30.74329458,0.148314718,2.819922082,8.5,0.0054544333610418395,2160.0307649896627,5323.060750951958,1,1129.4354949731883
5427.6,116.6,49.9,4.5,2.34,0.01336275,281.073,6.608555520000001,66.28846862,30.74329458,0.148314718,2.819922082,8.5,0.005462758429304842,2094.5670853679076,5273.74986766947,1,1129.4354949731883
5427.8,116.8,50.0,5.4,2.34,0.0134595,281.216,6.64543362,66.28846862,30.74329458,0.148314718,2.819922082,8.5,0.0054599805843195265,2091.115265797392,5305.877433662681,1,1129.4354949731883
5428.0,117.0,50.1,5.5,2.34,0.01343025,281.216,6.54217494,65.22998825,30.32701519,0.222309525,4.220687027,8.5,0.0054599805843195265,2063.1064231864634,5223.434201471791,1,1129.4354949731883
5428.2,117.2,50.2,5.2,2.34,0.01239975,280.216,6.689687340000001,65.22998825,30.32701519,0.222309525,4.220687027,8.5,0.0054794654837696626,2284.948764289603,5322.211091974504,1,1129.4354949731883
5428.4,117.4,50.2,3.6,2.34,0.011718,281.216,6.7118142,65.22998825,30.32701519,0.222309525,4.220687027,8.5,0.0054599805843195265,2425.883870967742,5358.866533540166,1,1129.4354949731883
5428.6,117.6,50.3,3.8,2.34,0.01250775,281.645,6.65280924,65.22998825,30.32701519,0.222309525,4.220687027,8.5,0.005451663974151858,2252.731613599568,5319.863827503576,1,1129.4354949731883
5428.8,117.8,50.4,4.3,2.34,0.013018499999999999,285.363,6.6011799,65.22998825,30.32701519,0.222309525,4.220687027,8.5,0.00538063413967473,2147.554510888351,5348.264006964211,1,1129.4354949731883
5429.0,118.0,50.5,4.5,2.34,0.0132345,285.363,6.674936100000001,64.75718421,31.41030526,0.174877947,3.657632578,8.5,0.00538063413967473,2136.107718463108,5408.021552285527,1,1129.4354949731883
5429.2,118.2,50.5,4.0,2.34,0.01361025,285.363,6.66756048,64.75718421,31.41030526,0.174877947,3.657632578,8.5,0.00538063413967473,2074.839160191767,5402.04808230622,1,1129.4354949731883
5429.4,118.4,50.6,4.5,2.34,0.0128115,284.363,6.71918982,64.75718421,31.41030526,0.174877947,3.657632578,8.5,0.005399555849389688,2221.2656691253956,5424.796150102718,1,1129.4354949731883
