DEPREAMMD	DEPREAMTVD	ROPA_AVG	WOB_AVG	TORQ_AVG	SURFRPM_AVG	MOTORRPM_AVG	BITRPM_AVG	SPP_AVG	CHKP_AVG	CEMENTP_AVG	SPM01_AVG	SPM02_AVG	SPM03_AVG	PITACTIVE_AVG	FLOWIN_AVG	FLOWOUTP_AVG	DIN_AVG	TIN_AVG	DOUT_AVG	TOUT_AVG
m	m	m/h	kLbf	kLbf.ft	rpm	rpm	rpm	Psi	Psi	Psi	Stk/min	Stk/min	Stk/min	bbl	gal/min	%	ppg	°C	ppg	°C
769.5	769.48	19.68	7.29	1	59	0	58.5	978	0	0	69	71	0	276.967	702	3.51	11.02	33.939	8.6	37.4
769.75	769.73	19.54	7.25	1	58	0	58.4	975	0	0	69	71	0	272.001	700	2.79	11.02	33.933	8.6	37.4
770	769.98	19.35	7.28	2	61	0	60.6	943	0	0	69	72	0	264.515	704	2.85	11.02	33.938	8.59	37.4
770.25	770.24	19.59	7.28	2	68	0	68.5	939	0	0	69	72	0	256.757	704	2.25	11.02	33.934	8.6	37.4
770.5	770.48	19.13	6.67	1	69	0	69.4	940	0	0	69	72	0	253.125	703	2.68	11.02	33.936	8.61	37.5
770.75	770.73	19.27	6.3	1	69	0	69.4	941	0	0	69	72	0	252.029	704	3.33	11.02	33.937	8.6	37.5
771	771.02	12.49	3.55	1	60	0	60	1272	0	0	72	73	0	370.89	722	3.29	10.98	34.3	9.23	40.9
771.25	771.27	115.11	0	1	48	0	48.2	1699	0	0	75	74	0	524.662	743	3.59	10.94	34.769	11.05	47.4
771.5	771.51	104.52	0.01	1	48	0	48.2	1695	0	0	76	74	0	524.64	748	2.9	10.93	34.769	11.06	47.4
771.75	771.73	7.65	1.77	1	48	0	48	1695	0	0	76	74	0	526.029	749	3.01	10.93	34.769	11.09	47.5
