MD,Interval__unidentified,Drilling_hour__unidentified,Drilling_time__unidentified,ROP,WOB,BIT_RPM,TORQUE,Si,Shale,Dolomite,Limestone,BIT_DIAMETER,DOC,Mu,MSE,cluster
m,m,h,min,m/h,klbs,rpm,kLbf.ft,%,%,%,%,in,in/rev,,ksi,
5375.0,64.0,26.3,6.2,2.43,0.00850275,262.78,6.379911300000001,64.03616489,28.7424738,0.069964745,7.151396572,8.5,0.0060677717101758,3177.889600423393,4583.620924879138,1
5375.2,64.2,26.4,4.4,2.44,0.00752625,262.923,6.53479932,64.03616489,28.7424738,0.069964745,7.151396572,8.5,0.0060894282102871,3677.368825112108,4678.1959747508445,0
5375.4,64.4,26.4,4.4,2.44,0.0076769999999999,262.78,6.564301800000001,64.03616489,28.7424738,0.069964745,7.151396572,8.5,0.0060927419641271,3621.433997655335,4696.761303381733,0
5375.6,64.6,26.5,3.6,2.44,0.0085455,262.78,6.46841874,64.03616489,28.7424738,0.069964745,7.151396572,8.5,0.0060927419641271,3205.8575671406,4628.162562932289,0
5375.8,64.8,26.6,5.4,2.44,0.0091394999999999,262.78,6.35040882,64.03616489,28.7424738,0.069964745,7.151396572,8.5,0.0060927419641271,2942.814062038405,4543.730613360507,0
5376.0,65.0,26.7,6.0,2.44,0.0099674999999999,262.78,6.40203816,62.18740785,31.97633571,0.175401037,5.660855406,8.5,0.0060927419641271,2720.2924063205423,4580.675846005361,1
5376.2,65.2,26.8,7.0,2.43,0.0099765,262.923,6.38728692,62.18740785,31.97633571,0.175401037,5.660855406,8.5,0.0060644715372941,2711.5760757780786,4591.425503807193,1
5376.4,65.4,26.9,6.9,2.43,0.00945,262.78,6.3430332,62.18740785,31.97633571,0.175401037,5.660855406,8.5,0.0060677717101758,2842.816,4557.131735005791,1
5376.6,65.6,27.0,4.6,2.43,0.00943425,262.78,6.365160060000001,62.18740785,31.97633571,0.175401037,5.660855406,8.5,0.0060677717101758,2857.4952921535896,4573.028426088204,0
5376.8,65.8,27.1,5.0,2.43,0.01016325,262.78,6.394662540000001,62.18740785,31.97633571,0.175401037,5.660855406,8.5,0.0060677717101758,2664.824405578924,4594.2283263023255,0
5377.0,66.0,27.2,6.9,2.43,0.0095062499999999,262.78,6.5274237,66.02992394,27.03355875,0.055895378,6.880621925,8.5,0.0060677717101758,2908.1456094674563,4689.605238718619,1
5377.2,66.2,27.3,4.1,2.43,0.00759375,262.923,6.35040882,66.02992394,27.03355875,0.055895378,6.880621925,8.5,0.0060644715372941,3541.8402133333334,4564.902750301699,0
5377.4,66.4,27.4,5.9,2.43,0.009072,262.78,6.33565758,66.02992394,27.03355875,0.055895378,6.880621925,8.5,0.0060677717101758,2957.8233333333337,4551.8306344930525,0
5377.6,66.6,27.5,6.3,2.43,0.0082394999999999,262.78,6.33565758,66.02992394,27.03355875,0.055895378,6.880621925,8.5,0.0060677717101758,3256.6749535772806,4551.825848057347,1
5377.8,66.8,27.6,5.9,2.42,0.0076095,262.78,6.40203816,66.02992394,27.03355875,0.055895378,6.880621925,8.5,0.0060428014562244,3563.245227675932,4618.518640304508,0
5378.4,67.4,27.7,3.7,2.43,0.00399375,266.78,6.0111303000000005,64.18361498,30.772574,0.113531935,4.93027908,8.5,0.0059767938001349,6374.686647887324,4384.386149266621,0
5378.6,67.6,27.8,3.2,2.43,0.00947925,266.78,6.46841874,64.18361498,30.772574,0.113531935,4.93027908,8.5,0.0059767938001349,2890.0657583669595,4717.952065436679,0
5378.8,67.8,27.9,4.0,2.43,0.00902475,266.923,6.490545600000001,64.18361498,30.772574,0.113531935,4.93027908,8.5,0.0059735918223607,3045.9979057591627,4736.625761021336,0
5379.0,68.0,28.0,4.6,2.43,0.00895725,266.78,6.579053040000001,62.28814274,32.01242686,0.180199017,5.519231375,8.5,0.0059767938001349,3110.8012660135646,4798.642865205593,0
5379.2,68.2,28.1,4.8,2.43,0.009414,266.78,6.674936100000001,62.28814274,32.01242686,0.180199017,5.519231375,8.5,0.0059767938001349,3003.008030592734,4868.580118804744,0
5379.4,68.4,28.2,5.3,2.43,0.0093307499999999,266.78,6.6011799,62.28814274,32.01242686,0.180199017,5.519231375,8.5,0.0059767938001349,2996.322739329636,4814.7837728321965,0
5379.6,68.6,28.3,5.5,2.43,0.009243,266.78,6.51267246,62.28814274,32.01242686,0.180199017,5.519231375,8.5,0.0059767938001349,2984.2132814021425,4750.228227521229,0
5379.8,68.8,28.3,4.4,2.43,0.0086985,266.78,6.54217494,62.28814274,32.01242686,0.180199017,5.519231375,8.5,0.0059767938001349,3185.380817382307,4771.743443865142,0
5380.0,69.0,28.5,7.6,2.42,0.0093915,266.78,6.53479932,68.86003641,25.43741874,0.233047419,5.469497431,8.5,0.0059521979408751,2947.0049640632487,4786.063353274195,1
5380.2,69.2,28.6,7.3,2.42,0.0088019999999999,266.78,6.58642866,68.86003641,25.43741874,0.233047419,5.469497431,8.5,0.0059521979408751,3169.2186503067487,4823.87267897125,1
5380.4,69.4,28.7,3.9,2.42,0.00893925,266.78,6.58642866,68.86003641,25.43741874,0.233047419,5.469497431,8.5,0.0059521979408751,3120.5596174175685,4823.873468086326,0
5380.6,69.6,28.8,6.5,2.42,0.00830475,266.78,6.564301800000001,68.86003641,25.43741874,0.233047419,5.469497431,8.5,0.0059521979408751,3347.6924410728807,4807.664370755717,1
5380.8,69.8,28.8,4.9,2.42,0.0093239999999999,266.78,6.64543362,68.86003641,25.43741874,0.233047419,5.469497431,8.5,0.0059521979408751,3018.5935135135137,4867.090211636928,0
5381.0,70.0,29.0,6.5,2.42,0.00915075,266.78,6.579053040000001,69.94099566,24.60845765,0.259148097,5.191398594,8.5,0.0059521979408751,3045.020860585198,4818.472867669581,1
5381.2,70.2,29.1,6.3,2.42,0.0092924999999999,266.78,6.615931140000001,69.94099566,24.60845765,0.259148097,5.191398594,8.5,0.0059521979408751,3015.3795254237293,4845.482764807987,1
5381.4,70.4,29.2,6.2,2.41,0.00936675,266.78,6.674936100000001,69.94099566,24.60845765,0.259148097,5.191398594,8.5,0.0059276020816153,3018.1565217391308,4908.9825524805365,1
5381.6,70.6,29.3,6.8,2.41,0.00945,266.78,6.7118142,69.94099566,24.60845765,0.259148097,5.191398594,8.5,0.0059276020816153,3008.096,4936.104184155105,1
5381.8,70.8,29.4,5.2,2.41,0.00963,266.78,6.5938042800000005,69.94099566,24.60845765,0.259148097,5.191398594,8.5,0.0059276020816153,2899.9688971962623,4849.317529360928,0
5382.0,71.0,29.5,6.6,2.41,0.0102397499999999,266.78,6.68231172,71.3756908,23.02497574,0.272698109,5.326635352,8.5,0.0059276020816153,2763.8912590639425,4914.411802376071,1
5382.2,71.2,29.6,7.3,2.41,0.0032714999999999,266.78,6.02588154,71.3756908,23.02497574,0.272698109,5.326635352,8.5,0.0059276020816153,7801.125061898213,4431.615214663813,1
5382.4,71.4,29.7,3.9,2.41,0.00878175,266.78,6.7118142,71.3756908,23.02497574,0.272698109,5.326635352,8.5,0.0059276020816153,3236.9980015372794,4936.100342070227,0
