BITRPM_AVG__rpm,Comments__TOC/TOP,DOUT_AVG__ppg,SURFRPM_AVG__rpm,FLOWIN_AVG__gal/min,SPP_AVG__Psi,MSE__ksi,SPM02_AVG__Stk/min,well,DIN_AVG__ppg,FLOWOUTP_AVG__%,TIN_AVG__C,WOB_AVG__tf,TOUT_AVG__C,SPM01_AVG__Stk/min,ROPA_AVG__m/h,CEMENTP_AVG__Psi,DOC__in/rev,DEPTVD__m,CHKP_AVG__Psi,PITACTIVE_AVG__bbl,MOTORRPM_AVG__rpm,HP__hp,SPM03_AVG__Stk/min,TORQ_AVG__kLbf.ft,DEPMD__ft
76,TOC,11.69,76,714,1180,8.869312006,87,G7,11.69,27.9,40.701,0.92,38.7,80,86.07,0,0.743110236,2626.71,0,230.877,0,71.48514851,0,4.94,2776
76,TOC,11.69,76,715,1180,8.510818309,87,G7,11.69,26.34,40.711,0.91,38.7,80,90.07,0,0.777645393,2627.57,0,231.145,0,71.77456207,0,4.96,2777
76,TOC,11.69,76,715,1180,7.902600414,87,G7,11.69,25.61,40.721,0.92,38.6,80,97.43,0,0.841190082,2628.45,0,230.945,0,72.06397563,0,4.98,2778
76,TOC,11.69,76,714,1180,7.90586834,87,G7,11.69,27.31,40.738,0.93,38.6,80,97.59,0,0.842571488,2629.3,0,230.857,0,72.20868241,0,4.99,2779
76,TOC,11.69,76,715,1180,8.074220027,87,G7,11.69,26.2,40.764,0.93,38.7,80,94.78,0,0.81831054,2630.16,0,230.786,0,71.62985529,0,4.95,2780
76,TOC,11.69,76,715,1180,7.779514422,87,G7,11.69,27.18,40.77,0.92,38.8,80,98.78,0,0.852845697,2631.04,0,230.774,0,71.91926885,0,4.97,2781
76,TOC,11.69,76,715,1181,7.648114253,87,G7,11.69,27.21,40.766,0.91,38.8,80,100.48,0,0.867523139,2631.9,0,230.837,0,71.91926885,0,4.97,2782
76,TOC,11.69,76,715,1181,7.913801933,87,G7,11.69,26.45,40.752,0.92,38.8,80,96.51,0,0.833246995,2632.78,0,230.926,0,71.48514851,0,4.94,2783
76,TOC,11.69,76,715,1183,8.362898545,87,G7,11.69,26.59,40.759,0.91,38.8,80,91.67,0,0.791459456,2633.64,0,230.786,0,71.77456207,0,4.96,2784
76,TOC,11.69,76,714,1182,8.312146694,87,G7,11.69,26.68,40.78,0.91,38.7,80,92.79,0,0.8011293,2634.51,0,230.832,0,72.20868241,0,4.99,2785
76,TOC,11.69,76,714,1182,8.005444682,87,G7,11.69,27.71,40.781,0.9,38.7,80,95.97,0,0.828584749,2635.38,0,230.717,0,71.91926885,0,4.97,2786
76,TOC,11.69,76,715,1183,7.972042153,87,G7,11.69,26.01,40.782,0.9,38.8,80,96.18,0,0.830397845,2636.25,0,230.751,0,71.77456207,0,4.96,2787
76,TOC,11.69,76,715,1182,7.949735924,87,G7,11.69,26.25,40.789,0.9,38.9,80,96.84,0,0.836096146,2637.1,0,230.687,0,72.06397563,0,4.98,2788
76,TOC,11.69,76,715,1183,8.143051087,87,G7,11.69,25.19,40.809,0.92,39,80,94.73,0,0.817878851,2637.97,0,230.757,0,72.20868241,0,4.99,2789
76,TOC,11.69,76,715,1182,8.354117879,87,G7,11.69,25.99,40.814,0.94,39,80,92.52,0,0.798798177,2638.83,0,230.797,0,72.35338919,0,5,2790
76,TOC,11.69,76,715,1183,7.999518444,87,G7,11.69,26.61,40.796,0.96,39.1,80,96.07,0,0.829448128,2639.71,0,230.457,0,71.91926885,0,4.97,2791
76,TOC,11.69,76,715,1183,7.961721193,87,G7,11.69,26.74,40.747,0.97,39,80,97.31,0,0.840154027,2640.59,0,230.519,0,72.49809596,0,5.01,2792
76,TOC,11.69,76,714,1182,8.271238139,87,G7,11.69,25.67,40.754,0.98,39,80,94.03,0,0.811835198,2641.45,0,230.326,0,72.78750952,0,5.03,2793
76,TOC,11.69,76,712,1183,8.022934577,87,G7,11.69,25.65,40.759,1,38.9,79,96,0,0.828843763,2642.31,0,230.297,0,72.06397563,0,4.98,2794
76,TOC,11.69,76,711,1183,8.338863418,87,G7,11.69,27.23,40.77,1.01,38.9,79,92.35,0,0.797330432,2643.18,0,230.615,0,72.06397563,0,4.98,2795
76,TOC,11.69,76,712,1185,7.969756886,87,G7,11.69,25.81,40.788,1.03,39,80,96.27,0,0.831174886,2644.04,0,230.436,0,71.77456207,0,4.96,2796
76,TOC,11.69,76,710,1183,8.208413004,86,G7,11.69,26.63,40.814,1.04,39,80,93.65,0,0.808554358,2644.92,0,230.405,0,71.91926885,0,4.97,2797
76,TOC,11.69,76,714,1184,7.955323603,87,G7,11.69,25.11,40.835,1.06,38.9,80,96.46,0,0.832815306,2645.79,0,230.2,0,71.77456207,0,4.96,2798
76,TOC,11.69,76,714,1184,8.203622273,87,G7,11.69,26.16,40.846,1.07,38.8,80,93.53,0,0.807518304,2646.64,0,230.075,0,71.77456207,0,4.96,2799
76,TOC,11.69,76,711,1184,5.408385787,87,G7,11.69,25.4,40.859,1.06,38.9,80,143.1,0,1.235495234,2647.52,0,230.355,0,72.20868241,0,4.99,2800
76,TOC,11.69,76,713,1186,4.307062421,87,G7,11.69,26.19,40.868,1.05,39,80,173.9,0,1.501415941,2648.4,0,230.433,0,69.74866717,0,4.82,2801
76,TOC,11.69,76,714,1204,3.386001095,87,G7,11.69,25.09,40.88,1.05,39,80,219.03,0,1.891058848,2649.26,0,230.159,0,68.8804265,0,4.76,2802
76,TOC,11.69,76,715,1187,3.521407856,87,G7,11.69,25.03,40.893,1.05,39,80,218.91,0,1.890022793,2650.14,0,230.381,0,71.62985529,0,4.95,2803
76,TOC,11.69,76,715,1187,5.161487381,87,G7,11.69,27.16,40.901,1.05,39,80,155.4,0,1.341690841,2651,0,230.246,0,74.81340442,0,5.17,2804
76,TOC,11.69,76,715,1185,7.947007815,87,G7,11.69,26.51,40.903,1.05,39,80,97.53,0,0.84205346,2651.85,0,230.099,0,72.49809596,0,5.01,2805
76,TOC,11.69,76,714,1185,7.717495977,87,G7,11.69,27.72,40.903,1.04,39.1,80,100.04,0,0.863724271,2652.73,0,230.26,0,72.20868241,0,4.99,2806
76,TOC,11.69,76,715,1185,7.750238878,87,G7,11.69,26.01,40.904,1.03,39.2,80,99.61,0,0.860011742,2653.58,0,229.814,0,72.20868241,0,4.99,2807
76,TOC,11.69,76,715,1184,7.719468091,87,G7,11.69,25.82,40.911,1.03,39.2,80,100.41,0,0.866918773,2654.46,0,229.972,0,72.49809596,0,5.01,2808
76,TOC,11.69,76,715,1185,8.000902107,87,G7,11.69,26.3,40.915,1.03,39.1,80,96.86,0,0.836268822,2655.32,0,230.158,0,72.49809596,0,5.01,2809
