Depth,Interval,Drilling_hour,Drilling_time,ROP,WOB,RPM_Total,TQ_Table,Si,Shale,Dolomite,Limestone
m,m,h,min,m/h,KN,rpm,KN.m,%,%,%,%
5326.4,15.4,5.6,3.6,2.73,27.18,268.065,6.16,63.71100033,29.65459152,0.173883261,6.460524895
5326.6,15.6,5.7,5.1,2.72,28.71,268.065,6.23,63.71100033,29.65459152,0.173883261,6.460524895
5326.8,15.8,5.8,6,2.71,30.27,268.065,6.14,63.71100033,29.65459152,0.173883261,6.460524895
5327,16,5.9,5.4,2.7,28.5,268.065,6.16,65.68403039,24.85788215,0.034148508,9.423938957
5327.2,16.2,6,5,2.7,30.08,268.065,6.24,65.68403039,24.85788215,0.034148508,9.423938957
5327.4,16.4,6.1,5.2,2.69,29.26,268.065,6.2,65.68403039,24.85788215,0.034148508,9.423938957
5327.6,16.6,6.2,6.5,2.68,28.84,268.065,6.09,65.68403039,24.85788215,0.034148508,9.423938957
5327.8,16.8,6.3,5.2,2.67,29.02,268.065,6.09,65.68403039,24.85788215,0.034148508,9.423938957
5328,17,6.4,5.9,2.66,29.4,268.065,6.25,65.11502557,23.87913926,0.142154524,10.86368065
5328.2,17.2,6.5,7.5,2.64,29.6,268.065,6.08,65.11502557,23.87913926,0.142154524,10.86368065
5328.4,17.4,6.6,5.8,2.64,29.42,268.065,6.07,65.11502557,23.87913926,0.142154524,10.86368065
5328.6,17.6,6.7,3.1,2.65,33.55,268.065,6.26,65.11502557,23.87913926,0.142154524,10.86368065
5328.8,17.8,6.7,5,2.64,36.14,268.065,6.35,65.11502557,23.87913926,0.142154524,10.86368065
5329,18,6.8,5.7,2.63,37.2,268.065,6.42,69.37834212,20.84268939,0.245798026,9.533170467
5329.2,18.2,6.9,4.7,2.63,37.19,268.065,6.38,69.37834212,20.84268939,0.245798026,9.533170467
5329.4,18.4,7,4.6,2.63,36.78,268.065,6.45,69.37834212,20.84268939,0.245798026,9.533170467
5329.6,18.6,7.1,4.9,2.63,37.23,268.065,6.44,69.37834212,20.84268939,0.245798026,9.533170467
5329.8,18.8,7.2,5.5,2.63,36.87,268.065,6.32,69.37834212,20.84268939,0.245798026,9.533170467
5330,19,7.2,4.5,2.63,36,268.065,6.33,68.44215506,20.69052131,0.201461949,10.66586168
5330.2,19.2,7.3,4,2.63,38.84,268.065,6.46,68.44215506,20.69052131,0.201461949,10.66586168
5330.4,19.4,7.4,6.7,2.62,28.06,268.065,5.82,68.44215506,20.69052131,0.201461949,10.66586168
